LocID,Latitude,Longitude,MaxRunwayLen
0AK6,61.803375,-147.9441528,1800
7AK9,61.64683056,-149.0485389,1400
AWI,70.638,-159.99475,4494
AK03,70.61337778,-159.86035,3000
IWK,65.62255556,-168.0949722,3990
PAQ,61.59491667,-149.0887222,6006
IYS,61.57198611,-149.5395556,3700
05AK,61.66865556,-149.1873333,2000
09AK,61.58936111,-149.8473333,1300
44AK,61.53344444,-150.1024444,1600
WMO,64.68919444,-163.41275,3000
IEM,60.77716944,-148.7196528,1480
05K,60.19848056,-154.32305,3849
BRW,71.28486111,-156.7685833,7100
UUO,61.75418889,-150.0517389,4400
42AK,70.11088889,-152.12975,5000
AK09,64.04960556,-145.502325,2380
WSM,67.40510833,-150.1208778,2000
4AK6,61.639375,-149.2839528,3800
9AK8,61.62474167,-149.6822306,2000
WRG,56.48433333,-132.3698333,6000
0AA1,60.08084722,-142.4954944,4350
YAK,59.50332222,-139.6602694,7732
A77,63.00186944,-156.3673611,1560
0AK2,61.72473333,-150.6834278,1000
0AK5,61.35651389,-142.7334444,1550
23AK,61.59408056,-149.3107306,1100
0J0,31.60022222,-85.23830833,2900
2A8,34.21714167,-87.15815833,2644
8A0,34.22911111,-86.25575,6114
ANB,33.58816667,-85.85811111,7000
1M3,34.97908333,-86.88327778,2700
26A,33.28419722,-85.80896667,4023
0R1,31.01613889,-87.44675,5001
AUO,32.61511111,-85.434,5264
AL88,30.42658611,-87.47081389,1320
02AL,30.37146389,-87.76444444,2000
57AL,30.65319444,-87.72375,1400
1R8,30.87033333,-87.81933333,5500
54AL,30.59753889,-87.82133333,2300
AL37,31.55502778,-85.97727778,1800
1AL5,30.63638889,-87.74777778,1300
EKY,33.31261111,-86.92630556,6007
0A8,32.93693889,-87.09054722,4206
5AL5,34.69208611,-87.65121944,3000
AL93,34.88564444,-86.70999722,2000
M22,34.44508333,-87.71163889,5500
BHM,33.56388889,-86.75230556,12007
84AL,31.30261111,-85.52313889,2400
4AL6,30.46686389,-87.68331944,1600
12J,31.05071111,-87.06726667,5136
09A,32.11930556,-88.12747222,4082
61A,31.97975,-87.33911111,4303
14J,31.41004167,-86.09033611,3050
PYP,34.08991667,-85.61008333,5500
8AL2,33.355425,-86.26213611,1750
02A,32.85048333,-86.61143333,4007
11A,31.88333333,-85.48522222,5010
AL09,34.54085556,-85.59229167,2450
2AL1,30.42408611,-87.77776667,2900
9A4,34.65815833,-87.34855833,4994
SEM,32.34394722,-86.98780556,8014
CMD,34.26869444,-86.85802778,5500
2AL6,30.49198056,-88.19730833,2100
DYA,32.46383333,-87.95405556,5002
DHN,31.32102778,-85.44947222,8499
AL60,33.83870833,-86.21136667,1800
3AL5,33.83530556,-85.76391667,1700
AL34,34.44703889,-87.38613333,3500
AL99,34.98073333,-86.68400556,2600
1AL4,30.54472222,-87.55944444,2400
2AL3,32.45541389,-86.11916667,2750
EDN,31.29972222,-85.89983333,5080
00AL,34.86481111,-86.77027778,2100
AL94,30.81268889,-88.37723333,2600
GZH,31.415,-87.04336111,5005
2AL8,32.42111111,-85.24805556,2400
3AL8,34.61916667,-86.46694444,2669
0AL5,31.03222222,-87.25277778,2200
0J4,31.04247222,-86.31156111,3197
3AL7,32.285,-87.52,2000
AL32,34.32258889,-85.64371389,2600
AL51,32.41611111,-85.29916667,1860
3AL1,31.05041667,-85.68527778,1800
2AL5,34.39277778,-85.665,1925
5AL3,33.15289444,-86.85137778,2500
5R4,30.42766667,-87.70097222,3700
28AL,32.43322222,-86.37459167,1500
07A,32.16759167,-85.81119722,5002
04A,31.73638611,-86.26245556,4649
AL41,31.11601111,-85.62548889,3300
AL10,34.6512,-86.41693056,2500
8AL3,34.14176667,-86.08856667,1300
33J,31.052625,-85.86894444,3998
AIV,33.10674444,-88.197175,5001
7A0,32.68154167,-87.66206944,3506
AL74,30.76435556,-88.30584167,1800
JKA,30.28963889,-87.67177778,6962
8A1,34.40618889,-86.26086944,5500
5M0,34.40822222,-86.93294444,3599
AL92,33.30733333,-86.40358889,3400
6AL6,31.38858333,-88.09258333,2500
M38,34.91613056,-86.64704444,2670
8AL7,34.98047222,-86.69230556,1000
HDL,31.36413889,-85.31252778,5002
AL27,34.10565278,-85.56579444,2000
68AL,31.8084,-86.525,2000
AL43,32.90846389,-88.33336667,3000
36AL,31.49288889,-85.53427778,3000
CQF,30.4605,-87.87702778,6604
7AL9,30.46922778,-87.54391111,2500
MDQ,34.85935278,-86.55751389,6500
HSV,34.63719722,-86.77505556,12600
4A9,34.47369444,-85.72138889,5001
4AL5,34.66634722,-86.22228611,2200
4R3,31.47055833,-87.89590278,5003
4R9,30.26048056,-88.12747222,3000
5AL7,31.25,-86.16666667,1800
M55,33.84671944,-88.115475,3613
7A3,32.81184444,-85.22948611,5400
AL17,33.23400278,-86.51303611,3000
4AL7,34.74472222,-85.68983333,2000
7AL5,31.28990278,-85.54047778,2650
27AL,32.45352778,-85.55815556,2000
1A4,31.10370278,-86.0626,3596
PRN,31.84569444,-86.61075,5501
HAB,34.11694444,-87.99822222,5495
15A,30.90913889,-87.99633333,2000
AL76,32.84873611,-86.86998889,3200
AL04,34.47958333,-86.77111111,2533
AL35,30.61963611,-87.70443333,1450
SCD,33.17183333,-86.30552778,5390
4AL8,34.49054167,-86.67343333,2242
BFM,30.62678056,-88.06809167,9618
MOB,30.69141667,-88.24283333,8502
MVC,31.45805556,-87.35102778,6028
MGM,32.30063889,-86.39397222,9020
3M5,34.74736111,-86.46097222,2180
1AL8,33.61093056,-86.47490556,2000
06A,32.46047222,-85.68002778,5005
AL44,32.96949167,-87.63701944,2400
2AL7,34.06277778,-86.72305556,2600
AL29,34.12926389,-86.63332778,2500
GAD,33.97265,-86.08908333,6802
3M8,33.38675278,-88.00658056,5144
MSL,34.74530556,-87.61022222,6694
71J,31.43181111,-85.62053333,5152
AL18,33.67621389,-86.86749444,1550
AL84,30.55852778,-87.60415278,2750
AL08,30.42500833,-87.53670556,3100
7AL2,33.86481944,-86.31083611,1000
1M4,34.28033333,-87.60041667,5008
7AL7,31.0645,-85.43938889,2382
1A9,32.43872222,-86.51269444,5400
DCU,34.65405556,-86.94536111,6107
0AL1,30.44388889,-87.65694444,2640
M95,33.70910556,-87.81520833,5009
26AL,30.63138889,-88.27972222,2700
7A5,33.12967778,-85.37221667,3561
20A,33.97127778,-86.38038889,4203
AL30,33.99083333,-87.07777778,3279
5R7,30.45525,-88.21119444,2000
5R1,31.45166667,-88.19442778,4002
4A6,34.68869444,-86.00594444,5240
AL05,32.22133611,-85.47178333,5000
EET,33.17777778,-86.78322222,5000
AL55,30.44186389,-87.46386944,2175
62AL,30.683525,-88.37195556,2467
AL77,31.74055556,-86.00702778,2100
AL89,32.71874167,-85.36689167,2250
79J,31.30836111,-86.39222222,6000
AL25,32.24236944,-85.60105833,1600
PLR,33.55883333,-86.24905556,5001
2R5,30.50191667,-88.27511111,3998
7A6,34.88627778,-85.80328889,4103
AL03,32.8475,-87.71388889,2002
